reduceelectricequipmentloadsbypercentage.elecequip_power_reduction_percent,reducelightingloadsbypercentage.lighting_power_reduction_percent,CompareBaseline.total_electric,CompareBaseline.total_electric_savings,CompareBaseline.total_gas,CompareBaseline.total_gas_savings
10.09140675,8.994147403,385477.7778,36500,71.33271647,-5.506817469
11.06406611,11.47778635,379994.4444,41983.33333,72.45114068,-6.625241671
11.25418869,12.02607571,378844.4444,43133.33333,72.69757313,-6.871674122
8.468775166,9.674873922,388691.6667,33286.11111,70.93463328,-5.108734278
10.85978924,10.49931199,381716.6667,40261.11111,72.07201383,-6.246114823
8.15707809,11.28006294,387513.8889,34463.88889,71.28532562,-5.459426613
13.98529861,9.53951727,375063.8889,46913.88889,73.01035278,-7.184453772
14.01722054,6.271158067,378986.1111,42991.66667,72.00566663,-6.179767624
9.261479964,10.15421396,386136.1111,35841.66667,71.37062916,-5.544730154
8.438980118,6.826170425,392272.2222,29705.55556,70.11951056,-4.293611555
8.764401213,10.02148498,387533.3333,34444.44444,71.14315305,-5.317254045
10.31594333,10.07448153,383588.8889,38388.88889,71.73079967,-5.90490066
9.122682292,13.00337844,382991.6667,38986.11111,72.16679554,-6.340896535
7.529807785,9.431769019,391355.5556,30622.22222,70.52707192,-4.701172917
7.945721615,10.91589254,388480.5556,33497.22222,71.09576219,-5.269863189
9.4302508,7.859920813,388508.3333,33469.44444,70.7640262,-4.938127197
12.10013684,11.62965171,377213.8889,44763.88889,72.91557107,-7.08967206
6.287658308,11.23096091,392263.8889,29713.88889,70.60289729,-4.776998286
13.70842535,11.12784175,373811.1111,48166.66667,73.40843597,-7.582536963
7.711255203,10.7001716,389333.3333,32644.44444,70.95358963,-5.127690621
9.446383,5.865593747,390922.2222,31055.55556,70.2048141,-4.378915096
8.645008308,14.1969227,382725,39252.77778,72.35635896,-6.530459959
13.24903722,13.57154121,371963.8889,50013.88889,74.0245171,-8.198618091
8.545185799,8.613941529,389802.7778,32175,70.65028815,-4.824389142
9.200746806,11.9068865,384136.1111,37841.66667,71.86349406,-6.037595056
5.4091334,6.915257738,399772.2222,22205.55556,69.12430258,-3.298403579
6.72252548,10.30309662,392305.5556,29672.22222,70.48915924,-4.663260232
10.6370077,8.477209976,384744.4444,37233.33333,71.3895855,-5.563686496
8.057210342,11.37034417,387655.5556,34322.22222,71.27584745,-5.449948442
10.38770856,9.909423728,383611.1111,38366.66667,71.71184332,-5.885944317
8.170985085,10.59421396,388313.8889,33663.88889,71.08628402,-5.260385018
7.207009781,9.914085984,391572.2222,30405.55556,70.55550644,-4.72960743
9.558495165,12.76416369,382197.2222,39780.55556,72.27105542,-6.445156418
9.620242362,5.961892511,390366.6667,31611.11111,70.29959581,-4.473696808
6.988710816,10.29061782,391658.3333,30319.44444,70.58394095,-4.758041944
9.92178683,7.288403087,387980.5556,33997.22222,70.77350437,-4.947605368
13.83690223,13.34264522,370780.5556,51197.22222,74.19512418,-8.369225172
8.799252368,12.6717384,384205.5556,37772.22222,71.9487976,-6.122898597
9.587192926,7.593485635,388444.4444,33533.33333,70.74506986,-4.919170854
11.5063836,12.58650369,377525,44452.77778,72.98191826,-7.156019258
12.29273418,9.209588475,379700,42277.77778,72.23314274,-6.407243733
8.892884387,11.8928866,384927.7778,37050,71.74027784,-5.914378831
8.74046323,11.5354443,385744.4444,36233.33333,71.57914893,-5.75324992
6.740697849,10.18481656,392405.5556,29572.22222,70.46072472,-4.634825718
9.8002366,6.747173725,388947.2222,33030.55556,70.58394095,-4.758041944
14.25173548,8.984301696,375080.5556,46897.22222,72.94400558,-7.118106574
11.36102433,8.063656957,383436.1111,38541.66667,71.53175807,-5.705859064
10.75990578,13.04235198,378836.1111,43141.66667,72.82078935,-6.994890348
9.362007501,11.16400372,384644.4444,37333.33333,71.70236515,-5.876466146
13.06760959,10.1916273,376558.3333,45419.44444,72.84922387,-7.023324862
8.554160146,11.57511222,386158.3333,35819.44444,71.5222799,-5.696380893
7.374577136,9.761797087,391341.6667,30636.11111,70.56498461,-4.739085602
11.17785945,6.141922438,386250,35727.77778,70.8967206,-5.070821594
6.515103016,13.89355087,388419.4444,33558.33333,71.44645453,-5.620555523
10.06254195,10.96327347,383133.3333,38844.44444,71.91088492,-6.084985912
8.462749923,8.735000658,389861.1111,32116.66667,70.65976632,-4.833867314
12.31355119,12.01161406,376219.4444,45758.33333,73.12409083,-7.298191826
9.526182526,12.96673983,382030.5556,39947.22222,72.31844628,-6.492547274
8.81079871,9.257732042,388347.2222,33630.55556,70.94411146,-5.11821245
8.965326224,11.50684642,385216.6667,36761.11111,71.6549743,-5.82907529
11.60666623,10.80865096,379452.7778,42525,72.46061885,-6.634719842
9.884236737,9.884344045,384908.3333,37069.44444,71.51280173,-5.686902722
13.48393411,7.108467405,379294.4444,42683.33333,72.05305749,-6.22715848
12.84270614,10.28077536,377013.8889,44963.88889,72.78287667,-6.956977663
9.026761719,7.681970377,389738.8889,32238.88889,70.56498461,-4.739085602
5.845634578,7.830320481,397552.7778,24425,69.5129076,-3.687008598
9.301426706,6.541163268,390452.7778,31525,70.34698667,-4.521087664
11.31597337,7.726706118,383963.8889,38013.88889,71.41802002,-5.59212101
11.19892759,9.870558147,381633.3333,40344.44444,72.0151448,-6.189245796
11.90857995,9.177450572,380702.7778,41275,72.07201383,-6.246114823
8.394474304,7.070807258,392083.3333,29894.44444,70.17637959,-4.350480582
10.80880147,9.637808552,382894.4444,39083.33333,71.78766869,-5.961769687
11.61012858,8.631991459,382125,39852.77778,71.79714686,-5.971247858
9.924571186,10.86309866,383602.7778,38375,71.82558138,-5.999682372
10.5089468,5.197084773,389072.2222,32905.55556,70.39437753,-4.56847852
13.28470612,13.5327294,371925,50052.77778,74.0245171,-8.198618091
10.40651595,13.43913259,379236.1111,42741.66667,72.81131118,-6.985412177
8.679338288,8.434515131,389686.1111,32291.66667,70.65976632,-4.833867314
9.047215332,10.84665119,385822.2222,36155.55556,71.48436721,-5.658468208
12.96736137,9.054710712,378202.7778,43775,72.45114068,-6.625241671
7.090237455,10.31916213,391366.6667,30611.11111,70.62185363,-4.795954629
10.56855686,7.153231666,386536.1111,35441.66667,70.97254597,-5.146646963
13.55512179,9.552515694,376122.2222,45855.55556,72.8397457,-7.01384669
12.76762304,7.946397354,380063.8889,41913.88889,72.03410114,-6.208202138
8.757031608,6.644908186,391688.8889,30288.88889,70.17637959,-4.350480582
8.700267738,12.17152433,385069.4444,36908.33333,71.74975601,-5.923857002
10.37663195,10.74435963,382625,39352.77778,71.96775395,-6.14185494
9.415054971,9.652280746,386366.6667,35611.11111,71.27584745,-5.449948442
10.62243524,10.64485161,382133.3333,39844.44444,72.02462297,-6.198723967
7.411517879,8.537843102,392744.4444,29233.33333,70.23324862,-4.407349609
6.106017427,11.39890465,392508.3333,29469.44444,70.58394095,-4.758041944
11.79932572,13.8566105,375247.2222,46730.55556,73.51269585,-7.686796846
9.732893636,11.24999029,383608.3333,38369.44444,71.87297223,-6.047073228
7.629445903,8.708007946,391988.8889,29988.88889,70.35646484,-4.530565835
12.13333765,9.56062832,379669.4444,42308.33333,72.2805336,-6.454634589
8.342889059,7.136198301,392130.5556,29847.22222,70.17637959,-4.350480582
9.980068246,10.45901893,383958.3333,38019.44444,71.72132149,-5.895422488
9.770774262,8.55919719,386805.5556,35172.22222,71.08628402,-5.260385018
9.597280038,9.079300474,386608.3333,35369.44444,71.17158756,-5.345688559
10.45212219,7.365391807,386569.4444,35408.33333,70.99150231,-5.165603306
8.906960119,13.09594227,383413.8889,38563.88889,72.11940468,-6.293505679
10.25721343,10.86124279,382775,39202.77778,71.9487976,-6.122898597
6.944169087,6.704295659,396169.4444,25808.33333,69.56977663,-3.743877625
11.11520623,8.168507972,383925,38052.77778,71.47488904,-5.648990037
6.443781746,10.35147386,392944.4444,29033.33333,70.4038557,-4.577956691
7.486979143,14.2706459,385527.7778,36450,71.93931943,-6.113420426
9.333657863,7.772103388,388858.3333,33119.44444,70.70715718,-4.88125817
10.6996371,9.854493668,382897.2222,39080.55556,71.81610321,-5.9902042
10.87432438,8.234790449,384447.2222,37530.55556,71.39906367,-5.573164667
9.753102546,11.26720395,383536.1111,38441.66667,71.8824504,-6.056551399
7.724842904,10.08027251,390061.1111,31916.66667,70.78298254,-4.957083539
9.275681007,9.621324119,386744.4444,35233.33333,71.20950025,-5.383601243
10.95737178,12.82749909,378605.5556,43372.22222,72.8397457,-7.01384669
12.5211859,6.191689701,382833.3333,39144.44444,71.41802002,-5.59212101
12.65179167,7.620492839,380752.7778,41225,71.89192858,-6.06602957
9.849001259,11.55773839,382936.1111,39041.66667,72.00566663,-6.179767624
6.621154371,12.29496333,390116.6667,31861.11111,71.01993683,-5.194037819
10.46829846,10.20595659,383044.4444,38933.33333,71.83505955,-6.009160543
9.082367014,10.42167618,386255.5556,35722.22222,71.37062916,-5.544730154
10.67852983,10.56422916,382091.6667,39886.11111,72.02462297,-6.198723967
9.135305028,10.14810097,386455.5556,35522.22222,71.31376013,-5.487861127
9.711567338,10.78842547,384227.7778,37750,71.72132149,-5.895422488
11.58425457,12.8061596,377061.1111,44916.66667,73.07669998,-7.25080097
7.449201397,11.19654853,389383.3333,32594.44444,71.00098048,-5.175081477
11.2858157,11.98765139,378813.8889,43163.88889,72.69757313,-6.871674122
7.154005064,12.89270677,388047.2222,33930.55556,71.3895855,-5.563686496
11.04883054,10.66127672,381036.1111,40941.66667,72.19523005,-6.369331049
9.472866454,12.23167662,383055.5556,38922.22222,72.07201383,-6.246114823
8.839915274,13.98050091,382500,39477.77778,72.36583714,-6.53993813
9.246931437,11.79594525,384155.5556,37822.22222,71.84453772,-6.018638714
7.756033536,8.043766026,392488.8889,29488.88889,70.21429227,-4.388393267
13.33070586,11.00678715,374905.5556,47072.22222,73.21887254,-7.392973538
12.67219323,10.9777211,376588.8889,45388.88889,72.94400558,-7.118106574
12.57014307,10.52829615,377391.6667,44586.11111,72.75444216,-6.928543149
10.72199525,10.44596115,382127.7778,39850,72.00566663,-6.179767624
9.175503854,11.60122833,384577.7778,37400,71.76871235,-5.942813344
6.249658648,9.633226983,394316.6667,27661.11111,70.1384669,-4.312567897
7.772457421,8.351374602,392069.4444,29908.33333,70.30907398,-4.483174979
10.08259179,13.26230312,380266.6667,41711.11111,72.62174776,-6.795848753
7.111425236,8.956191171,392986.1111,28991.66667,70.25220496,-4.426305952
7.257613539,7.410870745,394519.4444,27458.33333,69.87307811,-4.047179104
13.05105841,12.75549683,373463.8889,48513.88889,73.66434659,-7.838447585
12.71143846,9.511265459,378280.5556,43697.22222,72.49853153,-6.672632527
11.30568541,11.10985045,379838.8889,42138.88889,72.43218433,-6.606285329
9.792719917,7.649698704,387866.6667,34111.11111,70.8303734,-5.004474395
13.40863436,13.27506061,371927.7778,50050,73.98660441,-8.160705406
8.720777913,9.704186902,388030.5556,33947.22222,71.03889317,-5.212994162
10.90996358,10.6109238,381450,40527.77778,72.12888286,-6.30298385
11.77792344,6.68201944,384088.8889,37888.88889,71.28532562,-5.459426613
9.717523682,9.834296666,385383.3333,36594.44444,71.43697636,-5.611077352
13.35370601,7.182457852,379527.7778,42450,72.02462297,-6.198723967
8.996649648,9.452256965,387650,34327.77778,71.05784951,-5.231950504
9.83216942,9.426498116,385597.2222,36380.55556,71.36115099,-5.535251983
6.158885723,9.689086821,394477.7778,27500,70.11951056,-4.293611555
9.625005931,12.64401505,382177.7778,39800,72.26157725,-6.435678247
7.796592656,13.13471161,386147.2222,35830.55556,71.70236515,-5.876466146
9.490269017,10.58155175,385038.8889,36938.88889,71.57914893,-5.75324992
12.43673313,7.805338086,381061.1111,40916.66667,71.86349406,-6.037595056
11.70286969,14.43097584,374786.1111,47191.66667,73.65486842,-7.828969414
13.1659175,13.46461713,372305.5556,49672.22222,73.94869173,-8.122792721
8.258332265,8.095992129,391163.8889,30813.88889,70.41333387,-4.587434862
7.468667529,10.12580863,390650,31327.77778,70.70715718,-4.88125817
10.43392163,12.04904228,380875,41102.77778,72.38479348,-6.558894473
7.872976304,11.49583258,387958.3333,34019.44444,71.24741293,-5.421513928
9.223557271,11.31691593,384805.5556,37172.22222,71.69288698,-5.866987975
12.34140256,13.74947043,374016.6667,47961.11111,73.70225928,-7.87636027
11.741033,11.35403593,378452.7778,43525,72.67861679,-6.85271778
10.92621129,8.814776529,383605.5556,38372.22222,71.5886271,-5.762728092
11.3583628,11.1519378,379655.5556,42322.22222,72.47009702,-6.644198013
9.063677556,11.29481951,385230.5556,36747.22222,71.62653978,-5.800640776
9.579636061,6.03840071,390375,31602.77778,70.29959581,-4.473696808
10.98016327,6.43635009,386383.3333,35594.44444,70.91567694,-5.089777936
5.684086422,12.42797181,392308.3333,29669.44444,70.72611352,-4.900214512
7.822446084,13.62236459,385483.3333,36494.44444,71.86349406,-6.037595056
14.40250375,12.35991814,370566.6667,51411.11111,74.10982064,-8.283921632
6.663102396,9.939576325,392900,29077.77778,70.36594301,-4.540044006
9.143910318,8.252998503,388744.4444,33233.33333,70.77350437,-4.947605368
13.13549636,8.58758957,378352.7778,43625,72.37531531,-6.549416301
12.23037691,11.76164938,376725,45252.77778,73.01035278,-7.184453772
8.238810713,10.3378454,388455.5556,33522.22222,71.03889317,-5.212994162
11.33688982,13.79310523,376469.4444,45508.33333,73.29469791,-7.468798908
10.20209043,14.32939573,378655.5556,43322.22222,73.01035278,-7.184453772
13.80238587,8.425764146,376888.8889,45088.88889,72.59331324,-6.767414239
11.56914075,10.10393045,380413.8889,41563.88889,72.22366457,-6.397765562
12.53579983,11.84484916,375869.4444,46108.33333,73.16200352,-7.336104511
12.37003346,8.829861092,379975,42002.77778,72.1478392,-6.321940192
9.759978947,8.750183416,386608.3333,35369.44444,71.14315305,-5.317254045
9.907902867,9.10300175,385805.5556,36172.22222,71.29480379,-5.468904784
8.637986424,8.190702169,390091.6667,31886.11111,70.57446278,-4.748563773
8.195842627,11.73238432,386866.6667,35111.11111,71.43697636,-5.611077352
13.72884483,9.778681994,375413.8889,46563.88889,72.98191826,-7.156019258
13.01255281,6.492630496,381233.3333,40744.44444,71.68340881,-5.857509804
10.01274027,13.647396,379969.4444,42008.33333,72.71652947,-6.890630465
5.193626705,9.794349783,396766.6667,25211.11111,69.82568725,-3.999788248
10.27806348,11.0474362,382500,39477.77778,72.0151448,-6.189245796
11.7354092,12.6849583,376830.5556,45147.22222,73.10513449,-7.279235484
12.1964933,8.127779386,381272.2222,40705.55556,71.86349406,-6.037595056
10.21875656,6.364832572,388366.6667,33611.11111,70.62185363,-4.795954629
